identifier,id,title,link,image,description,keywords,disciplines,type,type_link,date_added,date_modified,authors,submitter,submitter_link,primary_audience,primary_audience_link,technical_format,technical_format_link,mobile_compatibility,language,cost_involved,source_code_available,accessibility_information_available,creative_commons,user_average_rating,repository_oer,bookmark_collections,technical_requirements,peer_review_rating,comments
https://www.merlot.org/merlot/viewMaterial.htm?id=1000107,1,Swahili Information LIteracy Resources (Zanzibar et al.),https://www.merlot.org/merlot/viewMaterial.htm?id=1000107,https://www.merlot.org/merlot/images/materialicons/academicsupportservices.png,One information literacy resource in the Swahili language used in Zanzibar and some other countries in the Eastern and Southern African regions. .,"IFLA, Africa, languages, UNESCO, information literacy, libraries, international, Zanzibar","Academic Support Services, ICT (Information and Communication Technology) Literacy",Reference Material,https://www.merlot.org/merlot/materials.htm?materialType=16,"March 16, 2015","August 1, 2017",Abbas Omar,Lesley Farmer,https://www.merlot.org/merlot/viewMember.htm?id=23711,"College General Ed,
                                

Professional",https://www.merlot.org/merlot/materials.htm?audience=3,Document,https://www.merlot.org/merlot/materials.htm?techncialFormat=Document,Not specified at this time,"English, 
Swahili",no,no,no,unknown,0.0,Merlot,,,,
https://www.merlot.org/merlot/viewMaterial.htm?id=1000110,2,Swahili (Kiswahili) Information Literacy Resources,https://www.merlot.org/merlot/viewMaterial.htm?id=1000110,https://www.merlot.org/merlot/images/materialicons/academicsupport.png,Important selected information literacy resources in the Kiswahili Language,"literacy, Kiswahili, IFLA, Tanzania, languages, UNESCO, organizations, information literacy, libraries, media, international","Academic Support Services, ICT (Information and Communication Technology) Literacy",Collection,https://www.merlot.org/merlot/materials.htm?materialType=4,"March 16, 2015","August 7, 2016",Liloty Mangweha,Lesley Farmer,https://www.merlot.org/merlot/viewMember.htm?id=23711,College General Ed,https://www.merlot.org/merlot/materials.htm?audience=3,Word doc,https://www.merlot.org/merlot/materials.htm?techncialFormat=Word%20doc,Not specified at this time,"English, 
Swahili",no,no,no,unknown,0.0,Merlot,,,,
https://www.merlot.org/merlot/viewMaterial.htm?id=1000111,3,Fulani Information Literacy Resources,https://www.merlot.org/merlot/viewMaterial.htm?id=1000111,https://www.merlot.org/merlot/images/materialicons/academicsupport.png,Beginning list of information literacy resources in the Fulani (Fuldulde or Fula) language used in Senegal and in West Africa.,"Fuldulde, Fula, IFLA, Senegal, languages, UNESCO, information literacy, libraries, international","Academic Support Services, ICT (Information and Communication Technology) Literacy",Collection,https://www.merlot.org/merlot/materials.htm?materialType=4,"March 16, 2015","August 7, 2016",Adama Pam,Lesley Farmer,https://www.merlot.org/merlot/viewMember.htm?id=23711,"College General Ed,
                                

Professional",https://www.merlot.org/merlot/materials.htm?audience=3,Word doc,https://www.merlot.org/merlot/materials.htm?techncialFormat=Word%20doc,Not specified at this time,"English, 
Fulah",no,no,no,unknown,0.0,Merlot,,,,
https://www.merlot.org/merlot/viewMaterial.htm?id=1000274,4,Cellular Immune Response,https://www.merlot.org/merlot/viewMaterial.htm?id=1000274,https://www.merlot.org/merlot/images/materialicons/scienceandtechnology.png,cell immunity,immunity,"Science and Technology, Biology, Cell and Molecular Biology",Animation,https://www.merlot.org/merlot/materials.htm?materialType=0,"March 16, 2015","August 30, 2017",,"College General Ed,
                                

College Lower Division",https://www.merlot.org/merlot/materials.htm?audience=3,Website,https://www.merlot.org/merlot/materials.htm?techncialFormat=Website,,,Not specified at this time,English,no,unknown,Unknown,no,0.0,Merlot,1,,,
https://www.merlot.org/merlot/viewMaterial.htm?id=1000279,5,Cells and orgins of the immune system,https://www.merlot.org/merlot/viewMaterial.htm?id=1000279,https://www.merlot.org/merlot/images/materialicons/scienceandtechnology.png,immunity and how it works basics,"cells, immunity, chart","Science and Technology, Biology, Microbiology",Animation,https://www.merlot.org/merlot/materials.htm?materialType=0,"March 16, 2015","August 30, 2017",Anil Kapoor,Anil Kapoor,https://www.merlot.org/merlot/viewMember.htm?id=518037,College General Ed,https://www.merlot.org/merlot/materials.htm?audience=3,Website,https://www.merlot.org/merlot/materials.htm?techncialFormat=Website,Not specified at this time,English,no,unknown,Unknown,no,0.0,Merlot,1,,,
https://www.merlot.org/merlot/viewMaterial.htm?id=1000285,6,Zoology,https://www.merlot.org/merlot/viewMaterial.htm?id=1000285,https://www.merlot.org/merlot/getMaterialImage.htm?id=1000285,"'The present book is not a classical manual on Zoology and the reader should not expect to find the usual treatment of animal groups. As a consequence, some people may feel disappointed when consulting the index, mainly if searching for something that is considered standard. But the reader, if interested in Zoology, should not be disappointed when trying to find novelties on different topics that will help to improve the knowledge on animals. This book is a compendium of contributions to some of the many different topics related to the knowledge of animals. Individual chapters represent recent contributions to Zoology illustrating the diversity of research conducted in this discipline and providing new data to be considered in future overall publications.'",,"Science and Technology, Biology, Zoology",Open (Access) Textbook,https://www.merlot.org/merlot/materials.htm?materialType=13,"March 16, 2015","March 28, 2015",María-Dolores García,Cathy Swift,https://www.merlot.org/merlot/viewMember.htm?id=11397,"College Lower Division,
                                

College Upper Division",https://www.merlot.org/merlot/materials.htm?audience=4,Website,https://www.merlot.org/merlot/materials.htm?techncialFormat=Website,Not specified at this time,English,no,unknown,Unknown,http://creativecommons.org/licenses/by/3.0/us/,0.0,Merlot,,,,
https://www.merlot.org/merlot/viewMaterial.htm?id=1000287,7,Introduction to Zoology,https://www.merlot.org/merlot/viewMaterial.htm?id=1000287,http://sunny.moorparkcollege.edu/~econnolly/home_files/image002.gif,"'This book covers the following subtopics of zoology: Intro and Origins, Cells as Units of Life, Genetics, Evolution, Reproduction, Development Body Plans, Protozoans and Porifera, Radiates, Worms, Mollusca, Cephalopods, Chelicerata and Insecta, Crustaceans, Echinoderms, Cartilagenous Fishes, Bony Fishes, Origins of Tetrapods, Amphibian Orders, Reptiles or Amniotes, Reptile Orders, Birds Behavior, Mammal and Marine Mammal Adaptations.'
Although presented as a course, these lecture notes along with the illustrations could easily be used as a textbook.",,"Science and Technology, Biology, Zoology",Open (Access) Textbook,https://www.merlot.org/merlot/materials.htm?materialType=13,"March 16, 2015","March 28, 2015",E. Connolly D.V.M.,Cathy Swift,https://www.merlot.org/merlot/viewMember.htm?id=11397,"College Lower Division,
                                

College Upper Division",https://www.merlot.org/merlot/materials.htm?audience=4,Website,https://www.merlot.org/merlot/materials.htm?techncialFormat=Website,Not specified at this time,English,no,unknown,Unknown,unknown,0.0,Merlot,,,,
https://www.merlot.org/merlot/viewMaterial.htm?id=1000291,8,Textbook of Zoology,https://www.merlot.org/merlot/viewMaterial.htm?id=1000291,https://www.merlot.org/merlot/getMaterialImage.htm?id=1000291,"'The introduction of chapters on Animal Anomalies, Animal Regeneration, Biological Effects of Radiation, Marine Zoology, and Wildlife Conservation is a slight departure from the usual textbook outline, but each of these seems to the author to have enough of  special value and current interest to warrant presentation. The chapters on Regulatory Glands, Animal Distribution, The Animal and Its Environment, Animal Parasitism, Comparative Emhrijology, Animal Behavior, and Paleontology are also presented with the feeling that they are of exceptional general interest to all students, as well as being thoroughly zoological.'",,"Science and Technology, Biology, Zoology",Open (Access) Textbook,https://www.merlot.org/merlot/materials.htm?materialType=13,"March 16, 2015","March 28, 2015",George Edwin Potter,Cathy Swift,https://www.merlot.org/merlot/viewMember.htm?id=11397,"College Lower Division,
                                

College Upper Division",https://www.merlot.org/merlot/materials.htm?audience=4,Website,https://www.merlot.org/merlot/materials.htm?techncialFormat=Website,Not specified at this time,English,no,unknown,Unknown,unknown,0.0,Merlot,,"Also available as PDF, ePub, or MOBI",,
https://www.merlot.org/merlot/viewMaterial.htm?id=1000292,9,Zoological Illustrations,https://www.merlot.org/merlot/viewMaterial.htm?id=1000292,https://www.merlot.org/merlot/getMaterialImage.htm?id=1000292,"'The book Zoological Illustrations, describes the original figures and descriptions of New, Rare, or Interesting Animals, Selected Chiefly from the Classes of Ornithology, Entomology, and Conchology, and Arranged on the Principles of Cuvier and Other Modern Zoologists by William Swainson, F.R.S., F.L.S., member of the Wernerian Society of Edinburgh.'
'The termination of the first volume of the Zoological Illustrations is accomplished, and its contents will not only enable our readers to discern the nature of the work, but likewise to form a judgement, on that degree of improvement which we have introduced since its first publication, and they may safely rely on the continuation being in no respect inferior.
In commencing a work of this nature, we have had two principal objects in view: the diffusion of original observations, which, while they might further the ends of science, would also be interesting to the general reader; and that of discouraging the publication of distorted figures copied from old authors, by accustoming the public eye to original designs and correct representations of natural objects. How far we may have succeeded in this latter object, remains to be judged by others; we are however satisfied with having made the attempt, and we hope that abler pencils than our own, may engage in the prosecution of this most desirable object; for it is only by the publication of original matter, that a check can be given to the increasing number of compilations and multiplied copies of ""ill-shaped"" figures, by which error is perpetuated, and science retarded.
The only original work that has appeared in this country similar to our own, is the Zoological Miscellany by Dr. Leach, which, as it was discontinued after the third volume, it may be presumed was unsuccessful: although little can be said of many of the figures in the early volumes, those in the latter are much to be praised, and the whole are original; the descriptions also abound with details highly interesting to the scientific world, for which indeed the learned author principally intended it; nevertheless it is a question, whether science in the end would not have been equally, and perhaps more advanced, had this work been more adapted to general readers. Instruction in these days of refinement must be made easy, palatable, and enticing; the eye must be pleased, while the understanding is improved, and Wisdom in her simple dignified garb will often be deserted for Ignorance, decked out in the glittering trappings of Folly.'",,"Science and Technology, Biology, Zoology",Open (Access) Textbook,https://www.merlot.org/merlot/materials.htm?materialType=13,"March 16, 2015","March 28, 2015",William Swainson,Cathy Swift,https://www.merlot.org/merlot/viewMember.htm?id=11397,"College Lower Division,
                                

College Upper Division",https://www.merlot.org/merlot/materials.htm?audience=4,Website,https://www.merlot.org/merlot/materials.htm?techncialFormat=Website,Not specified at this time,English,no,unknown,Unknown,unknown,0.0,Merlot,,,,
https://www.merlot.org/merlot/viewMaterial.htm?id=1000295,10,General Zoology,https://www.merlot.org/merlot/viewMaterial.htm?id=1000295,https://www.merlot.org/merlot/getMaterialImage.htm?id=1000295,"'This book covers the following topics: Phylum protozoa, Metazoa, Phylum porifera, Phylum Coelenterata, Phylum Platyhelminthes, Phylum rotifera, Coelomata, Phylum mollusca, Phylum sipunculoidea, Phylum Phoronidea and Phylum Polyzoa.'",,"Science and Technology, Biology, Zoology",Open (Access) Textbook,https://www.merlot.org/merlot/materials.htm?materialType=13,"March 16, 2015","January 19, 2017","Mary Jane Guthrie, John M. Anderson",Cathy Swift,https://www.merlot.org/merlot/viewMember.htm?id=11397,"College Lower Division,
                                

College Upper Division",https://www.merlot.org/merlot/materials.htm?audience=4,Website,https://www.merlot.org/merlot/materials.htm?techncialFormat=Website,Not specified at this time,English,no,unknown,Unknown,no,5.0,Merlot,,,,
