identifier,repository_oer,category_oer,type_oer,id,title,author,downloads,has,name-download,url-download
http://www.openculture.com/2016/07/how-did-hannibal-cross-the-alps-a-short-course-on-the-ancient-mystery.html,OpenCulture,Archaeology Courses,Course,62596,Hannibal,"Patrick Hunt, Stanford",download-OpenCulture-62596,download-0,Free iTunes Audio,http://www.openculture.com/2016/07/how-did-hannibal-cross-the-alps-a-short-course-on-the-ancient-mystery.html
OpenCulture-62597,OpenCulture,Archaeology Courses,Course,62597,Introduction to Near Eastern Art and Archaeology,"Dana D. DePietro, Margaret Larkin, UC Berkeley",download-OpenCulture-62597,download-0,Free Online Video,https://archive.org/search.php?query=Introduction%20to%20Near%20Eastern%20Art%20and%20Archaeologyhttps://archive.org/search.php?query=Introduction%20to%20Near%20Eastern%20Art%20and%20Archaeology
OpenCulture-62598,OpenCulture,Archaeology Courses,Course,62598,Out of the Past,"David Webster and William T. Sanders, Penn State",download-OpenCulture-62598,download-0,Free Online Video,http://www.learner.org/resources/series45.html?pop=yes&pid=574#
http://www.openculture.com/architecture-studio-building-in-landscapes-a-free-course-from-mit,OpenCulture,Architecture Courses,Course,62599,Architecture Studio: Building in Landscapes,"Jan Wampler, MIT",download-OpenCulture-62599,download-0,Free Online Course,http://www.openculture.com/architecture-studio-building-in-landscapes-a-free-course-from-mit
http://www.openculture.com/2012/11/the_history_of_western_architecture_in_39_free_lectures_.html,OpenCulture,Architecture Courses,Course,62600,History of Architecture,"Jacqueline Gargus, Ohio State",download-OpenCulture-62600,download-1,Jacqueline Gargus,http://knowlton.osu.edu/people/gargus
http://www.openculture.com/2016/12/roman-architecture-a-free-online-course-from-yale-university.html,OpenCulture,Architecture Courses,Course,62601,Roman Architecture,"Diana E. E. Kleiner, Yale",download-OpenCulture-62601,download-1,Diana E. E. Kleiner,http://arthistory.yale.edu/faculty/faculty/faculty_kleiner.html
OpenCulture-62602,OpenCulture,Architecture Courses,Course,62602,Structures 2,"Peter von Buelow, University of Michigan",download-OpenCulture-62602,download-1,Peter von Buelow,http://www-personal.umich.edu/~pvbuelow/
OpenCulture-62603,OpenCulture,Architecture Courses,Course,62603,The Architectural Imagination,"Multiple instructors , Harvard",download-OpenCulture-62603,download-0,Free Online Video,https://www.edx.org/course/architectural-imagination-harvardx-gsd1x#!
http://www.openculture.com/theory-of-city-form-a-free-course-from-mit,OpenCulture,Architecture Courses,Course,62604,Theory of City Form,"Julian Beinart, MIT",download-OpenCulture-62604,download-0,Free Online Course,http://www.openculture.com/theory-of-city-form-a-free-course-from-mit
OpenCulture-62605,OpenCulture,Art & Art History Courses,Course,62605,Aesthetics & the Philosophy of Art -,"James Grant, Oxford University",download-OpenCulture-62605,download-1,Free Online Video,http://podcasts.ox.ac.uk/series/aesthetics-and-philosophy-art-lectures
